iter	Passed	Remaining
129	7608	50921
130	7661	50820
131	7712	50715
132	7764	50617
133	7817	50521
134	7873	50446
135	7940	50446
136	8007	50442
137	8065	50379
138	8128	50349
139	8175	50221
140	8226	50116
141	8280	50035
142	8334	49949
143	8393	49891
144	8442	49780
145	8491	49669
146	8549	49611
147	8604	49535
148	8664	49487
149	8718	49402
150	8768	49301
151	8829	49260
152	8880	49160
153	8941	49117
154	9021	49184
155	9091	49185
156	9142	49090
157	9193	48994
158	9261	48986
159	9328	48975
160	9376	48865
161	9433	48800
162	9499	48781
163	9551	48689
164	9613	48650
165	9672	48597
166	9741	48591
167	9797	48519
168	9850	48435
169	9911	48389
170	10008	48520
171	10083	48541
172	10176	48645
173	10238	48604
174	10299	48554
175	10356	48488
176	10417	48437
177	10486	48425
178	10542	48353
179	10593	48259
180	10643	48161
181	10697	48079
182	10748	47987
183	10817	47973
184	10868	47881
185	10926	47817
186	10986	47765
187	11041	47689
188	11110	47676
189	11163	47590
190	11224	47541
191	11279	47468
192	11335	47396
193	11384	47297
194	11437	47214
195	11488	47127
196	11551	47085
197	11601	46993
198	11664	46952
199	11716	46864
200	11781	46834
201	11834	46753
202	11891	46689
203	11948	46622
204	12028	46648
205	12086	46587
206	12137	46496
207	12190	46417
208	12252	46371
209	12324	46365
210	12378	46287
211	12430	46204
212	12497	46174
213	12548	46088
214	12599	46003
215	12652	45922
216	12737	45961
217	12803	45927
218	12876	45918
219	12953	45924
220	13029	45925
221	13077	45829
222	13129	45747
223	13181	45663
224	13230	45571
225	13292	45524
226	13354	45474
227	13419	45436
228	13482	45394
229	13532	45304
230	13586	45228
231	13638	45149
232	13700	45100
233	13792	45150
234	13844	45067
235	13895	44985
236	13952	44919
237	14027	44909
238	14094	44879
239	14160	44840
240	14223	44795
241	14272	44704
242	14337	44665
243	14397	44607
244	14463	44570
245	14523	44513
246	14574	44431
247	14623	44341
248	14691	44309
249	14750	44252
250	14799	44162
251	14859	44105
252	14912	44030
253	15012	44090
254	15089	44084
255	15153	44039
256	15204	43957
257	15261	43892
258	15311	43806
259	15362	43723
260	15422	43666
261	15470	43576
262	15523	43501
263	15574	43420
264	15630	43353
265	15686	43284
266	15738	43207
267	15789	43125
268	15839	43043
269	15895	42976
270	15962	42939
271	16047	42950
272	16116	42919
273	16165	42833
274	16230	42788
275	16296	42748
276	16360	42702
277	16419	42643
278	16469	42561
279	16534	42516
280	16586	42439
281	16656	42409
282	16714	42346
283	16765	42266
284	16816	42188
285	16870	42116
286	16926	42050
287	17029	42101
288	17113	42102
289	17191	42088
290	17259	42051
291	17325	42007
292	17376	41928
293	17442	41884
294	17501	41825
295	17569	41788
296	17634	41740
297	17700	41697
298	17757	41632
299	17808	41553
300	17873	41506
301	17937	41457
302	17991	41385
303	18041	41305
304	18093	41230
305	18175	41222
306	18237	41167
307	18304	41125
308	18355	41047
309	18416	40991
310	18467	40913
311	18532	40865
312	18597	40819
313	18657	40760
314	18707	40682
315	18769	40626
316	18822	40553
317	18881	40493
318	18945	40444
319	18996	40366
320	19046	40288
321	19109	40237
322	19161	40161
323	19215	40091
324	19272	40026
325	19327	39958
326	19376	39878
327	19423	39795
328	19478	39727
329	19533	39659
330	19588	39591
331	19646	39528
332	19712	39484
333	19773	39428
334	19825	39354
335	19886	39300
336	19943	39235
337	19993	39159
338	20056	39107
339	20103	39025
340	20162	38964
341	20219	38900
342	20286	38858
343	20349	38805
344	20398	38727
345	20454	38661
346	20521	38617
347	20576	38551
348	20625	38473
349	20690	38424
350	20748	38364
351	20811	38312
352	20873	38258
353	20927	38190
354	20980	38119
355	21074	38124
356	21124	38047
357	21181	37984
358	21243	37930
359	21294	37857
360	21355	37801
361	21428	37765
362	21479	37693
363	21531	37620
364	21599	37577
365	21651	37504
366	21699	37426
367	21761	37372
368	21813	37301
369	21868	37236
370	21932	37185
371	22031	37192
372	22121	37185
373	22189	37140
374	22263	37105
375	22314	37032
376	22377	36979
377	22446	36935
378	22497	36862
379	22549	36791
380	22602	36722
381	22672	36679
382	22735	36626
383	22801	36577
384	22853	36505
385	22915	36451
386	22972	36387
387	23065	36381
388	23119	36313
389	23167	36237
390	23223	36171
391	23278	36105
392	23328	36031
393	23391	35978
394	23459	35932
395	23525	35881
396	23590	35831
397	23643	35762
398	23693	35689
399	23746	35619
